ISSUE_ID,SENTIMENT,NEGATIVE,NEUTRAL,POSITIVE
154,neg,0.6126109170951559,0.3035470167210188,0.3873890829048441
180,neg,0.5203543816139643,0.4899225099265383,0.4796456183860357
398,neg,0.6785602736094225,0.1888227514449996,0.3214397263905775
409,neg,0.6585254273462737,0.38250517461318895,0.3414745726537262
485,neg,0.6785602736094233,0.18882275144499963,0.3214397263905767
611,neutral,0.5512498543998877,0.588651970785021,0.4487501456001123
644,neutral,0.3365706311274954,0.8801649839593919,0.6634293688725046
722,neg,0.6170898230735398,0.21577785885435352,0.38291017692646023
918,pos,0.4327107817569814,0.22792871642277138,0.5672892182430186
927,neg,0.5461302178949193,0.3608121103475685,0.45386978210508067
1101,neutral,0.40581934437721423,0.6945437603034484,0.5941806556227858
1671,neutral,0.4277777395777387,0.8158644330344557,0.5722222604222613
1725,neutral,0.5809439942652878,0.7815932400949549,0.41905600573471224
2091,pos,0.43944968556917874,0.43412252687418046,0.5605503144308213
2463,pos,0.42793435147325876,0.2518881462292087,0.5720656485267412
2557,pos,0.3975112704215952,0.192370667431312,0.6024887295784048
2685,neutral,0.45392059204116286,0.9685969237149546,0.5460794079588371
2987,pos,0.47410041211362053,0.43734974371553315,0.5258995878863795
3399,neg,0.5005448692398153,0.27272762811481915,0.4994551307601847
3591,neg,0.8196621346149044,0.010545261103716765,0.1803378653850955
3908,pos,0.4380933654828143,0.3369515846816266,0.5619066345171857
4163,neutral,0.6029043418982121,0.5915514798324745,0.3970956581017879
4169,pos,0.4003254721625551,0.26200357503080923,0.5996745278374449
4223,neutral,0.7150151171939199,0.8140232588677586,0.28498488280608014
4691,neutral,0.5309447646206238,0.5079214482231788,0.46905523537937616
4694,neg,0.819713017049452,0.4862078026983629,0.18028698295054796
4758,pos,0.44344834679768996,0.44053539353185833,0.55655165320231
4887,neg,0.5120004389963398,0.212660808347657,0.48799956100366015
5134,pos,0.4575043860021666,0.2702519797895161,0.5424956139978334
5294,neutral,0.6089965548312529,0.5938770796929705,0.3910034451687471
5373,pos,0.4713377954828343,0.3160800262284866,0.5286622045171657
5491,neutral,0.5564982768040424,0.8110365654584375,0.4435017231959576
5711,neg,0.6080455688383628,0.36588050371213066,0.39195443116163725
5713,neg,0.6062399375131492,0.4713311213371356,0.3937600624868508
5721,neutral,0.4861538459582686,0.9655786546454465,0.5138461540417314
5784,neutral,0.6612728805092429,0.736019762328163,0.33872711949075707
6272,neutral,0.605469354630336,0.5511535793296899,0.394530645369664
6447,neutral,0.5477774749920268,0.5610381290361032,0.4522225250079732
6555,neutral,0.5635866152230076,0.8384454564980838,0.4364133847769925
7278,neg,0.5153847950943148,0.21993999123126948,0.4846152049056852
7380,neg,0.6510211902430617,0.2770477079752091,0.3489788097569383
7461,pos,0.3691490157108114,0.32607168235219436,0.6308509842891886
7577,pos,0.49265036448418187,0.3793470629242279,0.5073496355158181
7636,neg,0.7606285834987807,0.19211666021514925,0.23937141650121935
7665,pos,0.3286728363291759,0.3980962568138491,0.6713271636708241
8053,neutral,0.4504273531541201,0.5505118793574271,0.5495726468458799
8098,neg,0.640242262690248,0.3714729034203481,0.35975773730975197
8202,neg,0.640242262690248,0.3714729034203481,0.35975773730975197
8502,neg,0.60950362173983,0.30884311069339043,0.39049637826017003
8640,neg,0.5447247502073627,0.33543274074412993,0.4552752497926373
8813,neutral,0.5522704064674776,0.6612577094719252,0.4477295935325224
8980,pos,0.484576062116596,0.29024473844812965,0.515423937883404
9485,neutral,0.7545624189998619,0.5423422981106105,0.24543758100013807
9798,neutral,0.567272139324551,0.529415527905267,0.432727860675449
9989,neutral,0.5496766421183124,0.7728336320729876,0.4503233578816876
10101,pos,0.3732206265282665,0.3797726215101856,0.6267793734717335
10134,pos,0.4343682331828911,0.18380158442781322,0.5656317668171089
10261,neg,0.7277023410921422,0.28989795517078115,0.2722976589078579
10314,pos,0.3434220038015462,0.2926956871253942,0.6565779961984538
10446,neutral,0.6560262445019592,0.6031275462305781,0.34397375549804077
10696,pos,0.4726505623565376,0.3417895408371463,0.5273494376434624
10856,neg,0.6989046592744074,0.06753835456294434,0.30109534072559263
11149,neg,0.7897302260780732,0.3540189890479974,0.2102697739219268
