ISSUE_ID,PRIORITY,STATUS,RESOLUTION,CREATION_DATE,CONTEXT
MTOMCAT-255,Minor,Open,Unresolved,15/Jan/14 16:55,"Getting ""Target Unreachable, identifier 'pessoaBean' resolved to null"" on tomcat:run but not in tomcat:run-war"
MTOMCAT-257,Major,Open,Unresolved,20/Jan/14 17:29,Classpathes separation between plugin and application is broken (can't use slf4j-jcl in app)
MTOMCAT-258,Blocker,Resolved,Invalid,07/Feb/14 20:34,There is a high memory utilization issue on tomcat7 version
MTOMCAT-259,Major,Open,Unresolved,14/Feb/14 06:17,"ServletContext.getResourcePaths(""/WEB-INF/classes/"") returns null in tomcat7:run goal"
MTOMCAT-262,Minor,Closed,Cannot Reproduce,12/Mar/14 15:55,tomcatConfigurationFilesDirectory not honoured
MTOMCAT-264,Major,Open,Unresolved,14/Mar/14 18:11,uriEncoding parameter not working with HTTPS and run goal
MTOMCAT-266,Minor,Open,Unresolved,08/Apr/14 21:02,The <fork> attribute crashes Tomcat on startup
MTOMCAT-269,Major,Open,Unresolved,19/May/14 13:54,Context file of additional web apps is ignored
MTOMCAT-270,Major,Open,Unresolved,19/May/14 15:41,Additional web apps are not re-deployed properly
MTOMCAT-276,Minor,Open,Unresolved,21/Aug/14 15:33,Could not properly stop Tomcat when integration tests are failing
MTOMCAT-279,Major,Closed,Invalid,19/Sep/14 15:11,Snapshot repositiory missing files for 2.3-SNAPSHOT
MTOMCAT-281,Minor,Open,Unresolved,24/Sep/14 12:03,It is impossible to override 9 system properties that are packed within totomcat-embed-core-7.0.47.jar!/org/apache/catalina/startup/catalina.properties
MTOMCAT-283,Major,Open,Unresolved,30/Sep/14 09:02,Tomcat7Runner does not use tomcat-users.xml when used without a server.xml
MTOMCAT-286,Major,Closed,Fixed,30/Oct/14 13:13,Integration test fails on Windows
MTOMCAT-287,Major,Closed,Duplicate,31/Oct/14 08:00,Selenium integration test fails in Jenkins on Windows
MTOMCAT-289,Major,Closed,Not A Problem,04/Dec/14 20:21,Overriding the tomcat plugin dependencies to 7.0.53 does not get picked up by dependency:resolve-plugins
MTOMCAT-295,Major,Open,Unresolved,24/Apr/15 10:04,Tomcat7 plugin fails in multi module project when test dependencies are present
MTOMCAT-297,Major,Open,Unresolved,04/May/15 10:33,Using together with less compiler plugin
MTOMCAT-298,Major,Open,Unresolved,12/May/15 12:38,Classloader linkage problem
MTOMCAT-300,Minor,Open,Unresolved,21/Aug/15 16:47,exclude configuration in exec-war-only goal does not actually exclude anything
MTOMCAT-305,Major,Open,Unresolved,28/Feb/16 20:55,shutdown not correct working if embedded tomcat is started twice in same maven build
MTOMCAT-307,Major,Open,Unresolved,22/Jun/16 13:26,tomcat7:run: root context path not working in v2.2 but works for v2.0
MTOMCAT-308,Major,Open,Unresolved,23/Nov/16 14:47,SNI header not sent
MTOMCAT-309,Major,Open,Unresolved,15/Feb/17 18:57,Allow specifying sslProtocols via pom configuration
MTOMCAT-310,Major,Open,Unresolved,18/Apr/17 09:28,mvn tomcat6:deploy on a pom with a war assemply ==> no war to deploy
