ISSUE_ID,PRIORITY,STATUS,RESOLUTION,CREATION_DATE,CONTEXT
LUCENE-7938,Minor,Resolved,Not A Problem,21/Aug/17 15:00,Bounds of bounding box are not equal to bounding box
LUCENE-7941,Minor,Resolved,Fixed,25/Aug/17 12:41,GeoDegeneratePoints return intersects when located in edge shape
LUCENE-7942,Major,Resolved,Fixed,28/Aug/17 04:57,"For Geo3d paths, aggregating distance values using ""+"" is not adequate for squared distances"
LUCENE-7943,Major,Resolved,Fixed,28/Aug/17 16:30,Plane.findArcDistancePoints() sometimes throws assertion failures even when plane explicitly normalized
LUCENE-7944,Major,Open,Unresolved,28/Aug/17 21:51,GPG Password checker throws error only when process has not been terminated
LUCENE-7945,Minor,Open,Unresolved,30/Aug/17 11:30,TestMergeSchedulerExternal failure
LUCENE-7946,Major,Resolved,Fixed,31/Aug/17 05:13,CharTermAttributeImpl.setLength missing bounds check
LUCENE-7950,Major,Resolved,Fixed,02/Sep/17 12:43,SimpleNaiveBayesDocumentClassifier throws NPE if no docs have the class field
LUCENE-7952,Major,Open,Unresolved,04/Sep/17 11:42,TopDocs.ScoreMergeSortQueue.lessThan true/false mixup
LUCENE-7956,Minor,Resolved,Fixed,05/Sep/17 09:47,ICUNormalizer2CharFilter may fail with a StackOverFlow error
LUCENE-7957,Major,Resolved,Fixed,05/Sep/17 10:23,ConjunctionScorer.getChildren does not return all children
LUCENE-7961,Major,Open,Unresolved,06/Sep/17 22:17,SimpleFSLockFactory should catch+box IOException (not FileAlreadyExistsException | AccessDeniedException)
LUCENE-7963,Blocker,Resolved,Fixed,08/Sep/17 11:11,Useless getAttribute() in DefaultIndexingChain causes performance drop
LUCENE-7965,Major,Resolved,Fixed,08/Sep/17 19:46,Geo3d test failure
LUCENE-7967,Minor,Resolved,Fixed,12/Sep/17 10:09,GeoDegeneratePoint in Pole
LUCENE-7968,Major,Resolved,Fixed,13/Sep/17 00:26,AnalyzingSuggester's comparator compares incorrectly
LUCENE-7971,Trivial,Open,Unresolved,16/Sep/17 12:03,Invalid example in SpellChecker javadoc
LUCENE-7977,Minor,Closed,Cannot Reproduce,Tuesday 12:07,LUCENE-7951 broke the maven build
LUCENE-7978,Minor,Resolved,Fixed,Tuesday 14:58,Ant package fails on 7.0 and master
